frame,court_x,court_y,ball_movement,nearest_player,nearest_distance,second_player,second_distance,possession_player,possession_team
37,141.965,370.32,14.269702388277082,14,339.67103674631795,16,341.0340732509043,,
38,138.04250000000002,356.6,14.269702388277027,14,325.39650711720515,16,326.76298132624464,,
39,134.12,342.88,14.26970238827709,14,311.132289443861,16,312.5204339841688,,
40,130.1975,329.15999999999997,14.26970238827709,14,296.8578070103552,16,298.2558637909793,,
41,126.275,315.44,14.269702388277027,14,282.58851033120106,16,283.99180925909326,,
42,122.3525,301.72,14.26970238827703,14,268.32443072467055,16,269.728352197731,,
43,118.43,288.0,14.269702388277086,14,254.05005370030395,16,255.46559268295445,,
44,115.74,276.42,11.888334618440032,14,242.1885336786581,16,243.61943072762733,,
45,123.61,267.76,11.701816098366976,14,236.35342829766296,16,238.03610544296257,,
46,130.1,258.21,11.546540607472012,14,229.63076813867625,16,231.5502302388257,,
47,135.12,249.1,10.401562382642323,14,223.11766966759603,16,225.24516560417717,,
48,146.95,242.67,13.46453861073597,14,222.32183391137835,6,223.90913390937695,,
49,149.3,234.6,8.40520077095128,14,216.26129500513613,6,217.60307663519146,,
50,157.77,229.05,10.126371512047136,14,215.64214228577518,6,216.36624043960816,,
51,165.28,224.73,8.663861725581732,14,215.99168582952103,6,216.17515229007572,,
52,173.585,221.3425,8.969291011557159,6,217.67346644309063,14,217.90848224324245,,
53,181.89,217.955,8.969291011557132,6,219.5552674078127,14,220.17425208713328,,
54,190.195,214.5675,8.969291011557168,6,221.51570014064478,14,222.79216681018198,,
55,198.5,211.18,8.969291011557159,6,223.84862535003847,14,225.7235698366942,,
56,205.25666666666663,210.8,6.767343972670813,6,227.71596945733805,14,230.03899974383242,,
57,212.01333333333332,210.42,6.767343972670871,6,231.83193937607396,14,234.49962355247408,,
58,218.77,210.04,6.7673439726708695,6,235.88773016006786,14,239.0542532832264,,
59,225.52666666666667,209.66,6.767343972670841,6,240.4762671913856,14,243.71169948986596,,
60,232.28333333333333,209.28,6.767343972670841,6,245.08262879783868,14,248.44228708345977,,
61,239.04,208.9,6.767343972670841,6,249.59151122344926,14,253.28874418547662,,
62,336.03,339.59,162.7480758718824,6,411.1417541036135,14,413.5487466434168,,
63,254.86,211.08,151.99799011829066,6,262.9430246035049,14,266.872385840978,,
64,262.81,215.73,9.21004885980523,6,271.68535781978414,14,275.9712242993614,,
65,281.58,218.72,19.006656728630613,6,288.29777298964467,14,292.7290702146627,,
66,288.8,222.67,8.229878492420182,6,296.77257709669135,14,300.86154329305,,
67,284.27,227.36,6.52050611532575,6,296.6194537656538,14,300.0440674717773,,
