frame,ball_x,ball_y,ball_available,ball_zone,possession_player,possession_team,possessor_x,possessor_y,possessor_team,possessor_zone,event_type,previous_possession_player,previous_possession_team,possession_change,team_change,team_a_possession,team_b_possession,pass_event,pass_from_player,pass_to_player,pass_from_team,pass_to_team,pass_confidence
176,476.086,314.018,True,MID_RIGHT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
177,477.57,310.65,True,MID_RIGHT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
178,476.33,311.41,True,MID_RIGHT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
179,477.78,312.03,True,MID_RIGHT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
180,479.33666666666664,311.2133333333333,True,MID_RIGHT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
181,480.8933333333333,310.39666666666665,True,MID_RIGHT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
182,482.45,309.58,True,MID_RIGHT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
183,483.21,311.99,True,MID_RIGHT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
184,484.18,312.68,True,MID_RIGHT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
185,484.695,313.63,True,MID_RIGHT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
186,485.21,314.58,True,MID_RIGHT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
187,404.92,331.1,True,MID_CENTER,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
188,408.2418181818182,329.4206060606061,True,MID_CENTER,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
189,411.5636363636363,327.74121212121213,True,MID_CENTER,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
190,414.88545454545454,326.0618181818182,True,MID_CENTER,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
191,418.2072727272728,324.38242424242424,True,MID_CENTER,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
192,421.52909090909094,322.70303030303035,True,MID_CENTER,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
193,424.8509090909091,321.0236363636364,True,MID_CENTER,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
194,428.1727272727273,319.34424242424245,True,MID_CENTER,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
195,431.49454545454546,317.6648484848485,True,MID_CENTER,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
196,,,False,UNKNOWN,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
197,,,False,UNKNOWN,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
198,,,False,UNKNOWN,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
199,,,False,UNKNOWN,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
200,,,False,UNKNOWN,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
201,,,False,UNKNOWN,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
202,,,False,UNKNOWN,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
203,,,False,UNKNOWN,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
204,,,False,UNKNOWN,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
205,,,False,UNKNOWN,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
206,,,False,UNKNOWN,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
207,,,False,UNKNOWN,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
208,,,False,UNKNOWN,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
209,,,False,UNKNOWN,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
210,,,False,UNKNOWN,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
211,,,False,UNKNOWN,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
212,,,False,UNKNOWN,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
213,,,False,UNKNOWN,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
214,,,False,UNKNOWN,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
215,,,False,UNKNOWN,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
216,,,False,UNKNOWN,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
217,,,False,UNKNOWN,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
218,,,False,UNKNOWN,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
219,,,False,UNKNOWN,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
220,514.54,275.68,True,MID_RIGHT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
221,510.07,267.64,True,MID_RIGHT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
222,503.4,262.09,True,MID_RIGHT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
223,494.48,258.63,True,MID_RIGHT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
224,488.5,254.87,True,MID_RIGHT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
225,482.09,251.65,True,MID_RIGHT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
226,475.59,248.54,True,MID_RIGHT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
227,466.91,245.6,True,MID_RIGHT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
228,461.35,243.09,True,MID_RIGHT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
229,455.79,242.8,True,MID_RIGHT,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
